300 30000 50000
8 42 229 758
8 38 1 964
8 94 490 424
8 293 276 987
8 41 266 830
8 223 1 863
8 119 91 573
8 133 500 344
8 72 333 5
8 254 478 125
8 171 347 92
8 117 418 222
8 253 8 472
8 108 390 126
8 152 326 108
8 127 1 632
8 284 131 494
8 162 245 86
8 63 174 688
8 182 108 303
8 257 153 288
8 116 178 669
8 180 23 517
8 97 190 873
8 110 1 645
8 125 500 375
8 282 152 861
8 48 318 1
8 43 353 17
8 182 1 518
8 189 7 426
8 280 324 1
8 63 241 897
8 36 147 1000
8 213 356 53
8 143 135 886
8 76 131 612
8 279 454 680
8 131 147 1000
8 268 126 800
8 131 282 799
8 49 317 47
8 104 126 402
8 120 1 645
8 22 319 274
8 9 75 1000
8 71 418 1
8 240 315 126
8 176 317 880
8 169 365 1
8 227 408 1
8 26 92 1000
8 41 125 1000
8 193 500 293
8 70 500 161
8 180 338 159
8 189 1 622
8 299 373 474
8 224 217 198
8 241 162 606
8 55 134 700
8 205 405 1
8 108 500 427
8 157 303 67
8 134 103 523
8 197 1 674
8 188 375 761
9 10 9 422
9 286 476 174
9 19 195 58
9 150 423 83
9 227 274 562
9 271 319 167
9 58 1 850
9 242 1 748
9 129 193 1000
9 62 203 383
9 293 251 677
9 272 425 447
9 118 385 819
9 251 253 715
9 244 275 526
9 28 392 578
9 34 425 288
9 287 470 1
9 125 105 925
9 72 340 1
9 121 235 568
9 32 493 246
9 47 269 630
9 47 81 1000
9 80 34 515
9 163 255 396
9 214 48 480
9 145 81 499
9 285 145 949
9 39 500 405
9 151 267 22
9 132 51 331
9 199 500 553
9 245 152 1000
9 27 414 131
9 287 223 629
9 36 458 151
9 285 309 221
9 73 207 22
9 44 306 339
9 149 70 1000
9 110 315 361
9 47 274 652
9 215 398 685
9 27 284 1
9 254 256 1
9 263 425 467
9 53 222 374
9 119 212 1000
9 126 407 1
9 99 270 1000
9 55 1 776
9 14 1 598
9 15 293 728
9 272 350 601
9 196 124 578
9 189 268 400
9 254 21 946
9 138 385 18
9 47 160 954
9 277 337 768
9 46 287 1
9 271 114 912
9 197 243 4
9 30 74 320
9 195 493 544
9 132 1 501
9 121 415 231
9 160 244 1
9 282 279 845
9 206 1 777
9 263 340 749
9 241 101 1000
9 41 68 575
9 231 488 301
9 221 256 154
9 223 446 571
9 87 240 1
9 223 135 1000
9 80 313 860
9 185 314 312
9 266 327 1
9 295 448 20
9 78 322 753
9 39 167 1000
10 11 15 946
10 128 318 804
10 224 143 943
10 252 305 722
10 14 219 656
10 131 1 651
10 167 216 252
10 57 327 470
10 4 32 708
10 276 133 946
10 43 98 378
10 139 278 397
10 68 375 528
10 71 250 82
10 130 271 597
10 244 261 536
10 199 212 285
10 71 450 611
10 243 152 1000
10 123 334 487
10 160 38 763
10 156 367 33
10 206 130 450
10 153 295 1000
10 39 247 598
10 138 133 447
10 151 367 687
10 227 395 249
10 44 500 313
10 200 397 794
10 69 340 161
10 26 216 856
10 215 1 731
10 199 397 412
10 100 373 821
10 106 272 543
10 175 440 1
10 84 84 484
10 237 500 352
10 235 63 1000
10 275 500 184
10 236 117 933
10 226 125 223
10 160 278 861
10 296 413 1
10 7 1 635
10 260 120 565
10 198 500 227
10 115 256 1000
10 287 330 524
10 192 1 787
10 27 345 1
10 217 151 583
10 170 175 199
10 183 357 16
10 97 336 1
10 96 251 588
10 129 84 618
10 114 41 508
10 156 106 1000
10 79 500 216
10 4 196 821
10 76 107 208
10 6 372 602
10 184 362 240
10 139 500 420
10 147 448 593
10 260 41 616
10 170 382 607
10 155 500 300
10 96 1 732
10 131 41 594
10 44 188 1000
10 280 500 241
10 85 458 1
10 173 358 91
10 195 143 471
10 52 168 192
10 58 223 382
10 203 80 891
10 2 426 1
10 25 159 381
10 226 182 193
10 179 312 546
10 41 14 409
10 253 205 675
10 290 223 394
10 112 390 216
10 15 1 569
10 103 400 146
10 172 205 600
10 140 444 570
10 69 100 547
10 91 1 590
10 1 287 1
10 28 169 466
10 25 500 473
10 77 194 1000
10 75 4 678
10 23 50 1000
10 294 442 670
10 42 172 702
10 57 232 1
10 134 47 1000
10 257 199 962
10 106 500 212
10 178 161 701
10 217 183 376
10 56 404 19
11 12 2 442
11 212 409 416
11 137 350 763
11 297 205 619
11 60 38 974
11 170 487 120
11 20 130 367
11 138 173 896
11 121 312 1
11 168 151 389
11 218 500 237
11 230 414 1
11 158 305 141
11 133 500 492
11 4 72 1000
11 182 233 512
11 153 278 1
11 186 500 510
11 216 301 729
11 85 113 888
11 274 466 7
11 88 274 644
11 259 1 702
11 29 80 1000
11 47 306 1
11 8 20 582
11 195 276 435
11 187 247 352
11 45 366 148
11 263 377 1
11 163 142 136
11 216 43 956
11 218 387 1
11 118 500 341
11 277 438 421
11 156 392 298
11 274 350 1
11 215 500 306
11 68 258 615
11 97 195 1000
11 184 427 99
11 81 237 872
11 41 482 613
11 129 247 248
11 224 223 202
11 164 177 389
11 280 296 1
11 165 460 666
11 298 154 164
11 173 69 650
11 53 478 256
11 191 323 1
11 277 377 87
11 289 281 672
11 67 362 473
11 245 336 122
11 286 473 558
11 246 416 756
11 152 252 933
11 80 500 126
11 207 179 598
11 238 434 676
11 210 500 273
11 50 196 427
11 18 112 475
11 294 430 409
11 67 10 949
11 298 449 351
11 103 500 279
11 239 489 498
11 124 390 105
11 51 390 148
11 214 288 289
11 72 209 577
11 210 259 920
11 190 294 211
11 89 421 1
11 65 500 200
11 92 228 436
11 141 385 609
11 210 228 529
11 266 263 621
11 242 264 1
11 127 432 341
11 102 359 764
11 241 179 67
11 120 70 857
11 269 163 597
11 6 140 303
11 121 222 296
11 215 367 1
11 34 122 666
11 189 104 1000
11 296 361 226
11 268 379 184
11 211 330 603
11 147 466 471
11 107 68 266
11 19 233 1000
11 89 285 213
11 159 80 1000
11 88 216 277
11 134 128 338
11 109 373 1
11 84 197 502
11 234 1 893
11 196 273 451
11 155 418 407
11 88 55 504
12 13 1 489
12 224 500 237
12 251 418 503
12 257 376 1
12 101 146 1000
12 138 32 774
12 74 1 677
12 38 193 1000
12 10 437 90
12 170 477 430
12 55 233 347
12 141 500 367
12 161 262 303
12 203 314 714
12 205 55 912
12 175 500 367
12 30 95 584
12 237 351 883
12 233 121 790
12 51 50 486
12 187 100 1000
12 231 487 185
12 263 287 928
12 69 295 1
12 191 338 671
12 100 38 740
12 287 93 933
12 128 228 376
12 174 377 86
12 91 442 636
12 180 116 1000
12 136 3 449
12 118 500 224
12 98 257 3
12 100 1 594
12 25 308 1
12 186 179 860
12 298 284 122
12 176 382 628
12 128 456 212
12 8 99 378
12 78 155 404
12 282 1 712
12 123 375 621
12 40 290 1000
12 265 193 18
12 11 77 1000
12 35 284 1
12 125 1 700
12 294 380 470
12 118 188 94
12 23 422 670
12 208 126 492
12 165 380 539
12 50 213 558
12 19 48 512
12 209 81 265
12 143 335 425
12 64 206 321
12 156 385 436
12 32 394 311
12 178 411 661
12 221 335 576
12 65 500 390
12 35 418 528
12 276 74 331
12 173 456 456
12 126 106 534
12 74 1 718
12 57 1 654
12 46 322 294
12 85 349 425
12 106 229 268
12 254 1 710
12 248 228 1000
12 188 1 798
12 104 153 673
12 55 1 656
12 75 52 750
12 209 361 477
12 114 221 152
12 256 60 487
12 55 296 519
12 82 368 1
12 198 468 541
12 207 500 204
12 297 23 973
12 215 167 517
12 279 370 355
12 111 313 308
12 120 500 147
12 205 296 533
12 162 166 931
12 252 458 351
12 120 22 807
12 161 227 125
12 83 500 430
12 191 148 479
12 18 500 326
12 80 95 433
12 214 254 969
12 132 77 464
12 97 342 117
12 159 500 338
12 63 11 874
13 14 15 465
13 213 334 179
13 73 40 668
13 65 148 960
13 120 324 872
13 255 500 308
13 111 500 444
13 274 336 155
13 149 85 344
13 129 303 822
13 77 30 345
13 280 14 719
13 194 500 316
13 222 444 498
13 69 214 830
13 79 325 176
13 20 65 444
13 272 243 72
13 26 500 260
13 25 366 387
13 275 331 1
13 253 352 300
13 185 500 54
13 109 500 201
13 99 212 77
13 116 227 1
13 297 500 49
13 8 43 482
13 248 500 429
13 225 412 517
13 247 395 275
13 159 329 1
13 235 1 707
13 143 391 749
13 62 61 685
13 143 368 144
13 70 94 774
13 101 18 608
13 235 500 160
13 209 297 442
13 166 322 763
13 34 384 1
13 101 152 323
13 21 56 615
13 17 215 435
13 48 29 740
13 147 465 386
13 140 20 1000
13 108 482 518
13 188 63 1000
13 52 185 1000
13 1 31 1000
13 201 158 1000
13 66 242 937
13 139 437 47
13 186 280 897
13 23 465 160
13 250 355 736
13 165 1 685
13 29 195 612
13 91 268 383
13 148 202 121
13 128 500 298
13 20 414 210
13 275 428 1
13 261 65 1000
13 90 282 1000
13 169 319 409
13 250 370 1
13 32 30 889
13 207 253 857
13 154 268 413
13 192 1 602
13 135 439 542
13 33 304 602
13 249 382 1
13 215 185 957
13 188 288 971
13 161 281 874
13 125 412 675
13 30 27 978
13 68 500 181
13 202 158 430
14 15 16 381
14 7 1 707
14 298 69 916
14 26 1 679
14 282 129 313
14 225 383 1
14 179 137 647
14 75 340 1
14 278 500 287
14 209 174 1000
14 168 278 556
14 140 321 908
14 58 144 1000
14 160 340 352
14 113 500 263
14 157 176 1000
14 226 500 301
14 282 38 702
14 115 1 771
14 37 341 176
14 49 144 295
14 56 1 675
14 104 323 512
14 168 172 100
14 254 116 781
14 34 93 687
14 225 72 694
14 72 493 528
14 298 490 492
14 9 281 763
14 62 414 221
14 77 239 5
14 49 439 598
14 54 498 58
14 92 33 691
14 226 45 878
14 161 51 641
14 171 346 758
14 36 37 996
14 156 41 536
14 185 370 1
14 208 267 1
14 276 395 447
14 169 485 41
14 78 1 715
14 115 500 338
14 8 238 747
14 159 354 107
14 216 1 842
14 6 246 60
14 44 1 677
14 4 442 106
14 7 424 1
14 171 156 371
14 11 492 494
14 187 170 872
14 186 159 204
14 229 117 1000
14 255 416 243
14 61 351 405
14 242 307 660
14 68 169 483
14 78 221 1000
14 98 232 1000
14 238 481 173
14 101 285 476
14 89 298 681
14 164 376 133
14 260 19 926
14 40 224 49
14 98 54 740
14 201 1 729
14 244 212 824
14 194 500 386
14 152 106 723
14 286 299 625
14 175 267 950
14 234 173 592
14 167 11 444
14 226 431 437
14 76 463 246
14 263 204 1000
14 82 500 385
14 292 64 534
14 199 392 321
14 138 409 708
14 217 327 1
15 16 12 990
15 139 481 178
15 213 478 234
15 225 126 185
15 290 253 28
15 16 27 661
15 145 59 770
15 173 36 930
15 190 310 1
15 221 73 637
15 56 452 196
15 203 219 1000
15 212 184 578
15 153 366 183
15 10 431 529
15 264 273 198
15 246 191 177
15 177 240 293
15 281 340 392
15 80 363 111
15 250 167 546
15 117 154 323
15 202 433 571
15 91 158 777
15 155 336 1
15 220 25 376
15 208 1 521
15 95 400 33
15 214 79 260
15 37 205 725
15 178 457 478
15 103 14 654
15 25 500 86
15 3 210 182
15 241 144 1000
15 214 379 1
15 35 1 695
15 98 355 1
15 79 59 709
15 125 434 404
15 121 82 591
15 274 289 1
15 210 500 318
15 178 401 144
15 57 133 1000
15 124 318 54
15 199 500 345
15 3 389 6
15 88 205 1000
15 180 278 373
15 4 106 806
15 174 147 752
15 141 1 869
15 118 334 1
15 31 344 236
15 230 160 738
15 119 19 370
15 246 340 1
15 99 110 520
15 186 294 493
15 125 199 1000
15 117 362 810
15 161 240 776
15 157 68 829
15 249 124 538
15 283 500 478
15 120 126 666
15 179 104 608
15 259 48 648
15 244 1 678
15 234 254 391
15 157 1 692
15 203 313 408
15 8 500 312
15 68 432 492
15 136 301 811
15 268 115 917
15 51 143 1000
15 102 322 7
15 295 247 575
15 269 279 1
15 33 479 91
15 19 500 223
15 102 54 798
15 235 84 418
15 239 153 854
15 2 134 530
15 19 340 1
15 246 500 261
15 31 406 334
15 239 377 113
15 141 312 541
15 92 219 800
15 285 500 234
15 208 1 592
15 105 494 517
15 247 408 662
15 240 117 1000
15 254 169 1000
15 162 1 787
15 40 280 264
15 237 328 1
15 167 117 472
15 143 375 371
15 246 500 218
15 235 362 485
15 214 449 605
15 111 500 168
15 24 120 1000
15 95 360 1
15 70 234 558
16 17 9 111
16 217 194 535
16 228 445 375
16 261 1 783
16 126 119 517
16 20 252 867
16 104 500 264
16 96 60 578
16 166 173 772
16 202 480 209
16 85 1 804
16 57 150 359
16 167 405 616
16 250 329 664
16 212 144 436
16 49 29 426
16 160 430 542
16 277 108 405
16 150 334 521
16 41 240 30
16 85 451 3
16 175 364 437
16 189 276 263
16 220 379 350
16 298 339 723
16 281 288 803
16 3 249 71
16 127 282 1
16 53 1 620
16 181 90 1000
16 182 493 185
16 110 288 879
16 11 389 104
16 110 63 299
16 218 500 181
16 151 241 281
16 146 500 111
16 243 500 291
16 33 423 464
16 90 347 1
16 278 102 862
16 264 481 581
16 123 329 732
16 36 433 108
16 146 254 127
16 64 364 689
16 137 311 369
16 95 191 159
16 22 262 393
16 290 380 227
16 5 306 758
16 280 226 383
16 192 91 880
16 190 378 1
16 187 67 1000
16 168 258 1000
16 141 500 214
16 237 148 365
16 70 415 171
16 190 195 513
16 228 237 414
16 103 157 1000
16 169 218 1000
16 8 17 480
16 171 467 211
16 213 199 422
16 269 166 953
16 5 290 622
16 34 323 639
16 134 147 687
16 78 275 239
16 176 264 172
16 116 203 806
16 168 8 727
16 230 33 381
16 160 295 354
16 119 408 464
16 288 184 140
16 59 71 927
16 243 458 678
16 65 221 1000
16 35 1 787
16 35 439 482
16 156 259 772
16 290 500 575
17 18 15 260
17 198 100 578
17 84 69 935
17 215 1 880
17 197 241 974
17 72 161 264
17 16 168 287
17 109 93 1000
17 96 194 1000
17 113 320 538
17 52 240 195
17 79 272 1
17 55 143 560
17 114 500 227
17 83 442 526
17 190 446 386
17 159 500 250
17 13 344 372
17 263 319 278
17 290 201 733
17 29 239 477
17 260 473 168
17 261 68 974
17 104 279 496
17 154 24 987
17 63 384 329
17 54 257 621
17 56 454 618
17 52 191 1000
17 114 195 1000
17 69 231 832
17 129 456 513
17 218 186 975
17 124 186 559
17 195 336 198
17 285 12 449
17 284 431 356
17 43 351 28
17 195 138 827
17 125 500 397
17 188 129 946
17 182 500 311
17 188 296 700
17 219 66 552
17 124 328 70
17 48 101 959
